Wall time,Step,Value
1759845396.086492,1,0.009999999776482582
1759845396.8321993,2,0.00999979954212904
1759845397.5162687,3,0.009999600239098072
1759845398.2613785,4,0.00999940000474453
1759845399.0111773,5,0.009999199770390987
1759845446.4868577,6,0.009998999536037445
1759845447.2320826,7,0.009998800233006477
1759845447.9838603,8,0.009998599998652935
1759845448.7448444,9,0.009998399764299393
1759845449.5000324,10,0.00999819952994585
1759845496.8272002,11,0.009998000226914883
1759845497.582232,12,0.00999779999256134
1759845498.3396006,13,0.009997599758207798
1759845499.0851457,14,0.009997399523854256
1759845499.8385477,15,0.009997200220823288
1759845546.3707259,16,0.009996999986469746
1759845547.1230545,17,0.009996799752116203
1759845547.8780851,18,0.009996599517762661
1759845548.6214752,19,0.009996400214731693
1759845549.379063,20,0.009996199980378151
1759845596.248257,21,0.009995999746024609
1759845596.9941268,22,0.009995799511671066
1759845597.746585,23,0.009995600208640099
1759845598.5008552,24,0.009995399974286556
1759845599.25761,25,0.009995199739933014
1759845646.137663,26,0.009994999505579472
1759845646.8914027,27,0.009994800202548504
1759845647.6459048,28,0.009994599968194962
1759845648.4000428,29,0.00999439973384142
1759845649.1561825,30,0.009994199499487877
1759845696.1326733,31,0.00999400019645691
1759845696.8850718,32,0.009993799962103367
1759845697.63707,33,0.009993599727749825
1759845698.3918223,34,0.009993399493396282
1759845699.1481445,35,0.009993200190365314
1759845746.1645477,36,0.009992999956011772
1759845746.9196897,37,0.00999279972165823
1759845747.673626,38,0.009992599487304688
1759845748.4284294,39,0.009992399252951145
1759845749.182145,40,0.009992199949920177
1759845796.8805163,41,0.009991999715566635
1759845797.6355486,42,0.009991799481213093
1759845798.3908775,43,0.00999159924685955
1759845799.1457076,44,0.009991399943828583
1759845799.8907328,45,0.00999119970947504
1759845846.8876474,46,0.009990999475121498
1759845847.640626,47,0.009990799240767956
1759845848.3933334,48,0.009990599937736988
1759845849.148892,49,0.009990399703383446
1759845849.9037719,50,0.009990199469029903
1759845896.5024023,51,0.009989999234676361
1759845897.251177,52,0.009989799000322819
1759845898.0019217,53,0.009989599697291851
1759845898.7559633,54,0.009989399462938309
1759845899.5106366,55,0.009989199228584766
1759845946.1837964,56,0.009988998994231224
1759845946.9393153,57,0.009988799691200256
1759845947.6963744,58,0.009988599456846714
1759845948.451114,59,0.009988399222493172
1759845949.197498,60,0.00998819898813963
1759845996.1379755,61,0.009987998753786087
1759845996.8908062,62,0.00998779945075512
1759845997.6440694,63,0.009987599216401577
1759845998.3986585,64,0.009987398982048035
1759845999.1549194,65,0.009987198747694492
1759846045.9268153,66,0.009986999444663525
1759846046.679755,67,0.009986799210309982
1759846047.4360669,68,0.00998659897595644
1759846048.1902838,69,0.009986398741602898
1759846048.947465,70,0.009986198507249355
1759846095.291825,71,0.009985999204218388
1759846096.0457728,72,0.009985798969864845
1759846096.7990453,73,0.009985598735511303
1759846097.5604157,74,0.00998539850115776
1759846098.3052275,75,0.009985199198126793
1759846145.078705,76,0.00998499896377325
1759846145.8356762,77,0.009984798729419708
1759846146.5794432,78,0.009984598495066166
1759846147.3336344,79,0.009984398260712624
1759846148.0871468,80,0.009984198957681656
1759846194.7492707,81,0.009983998723328114
1759846195.494933,82,0.009983798488974571
1759846196.2589657,83,0.009983598254621029
1759846197.0029376,84,0.009983398020267487
1759846197.7592773,85,0.009983198717236519
1759846244.8454535,86,0.009982998482882977
1759846245.5963025,87,0.009982798248529434
1759846246.3440626,88,0.009982598014175892
1759846247.092926,89,0.009982398711144924
1759846247.8451164,90,0.009982198476791382
